股票,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
新海股份,0,0,0,0,0,0,0,0,0,0,0,0
科陆电子,3,3,5,1,3,0,4,1,5,1,2,0
天马股份,0,0,0,0,1,0,0,0,0,0,0,0
荣信股份,0,0,0,0,2,1,2,2,2,1,4,1
天邦股份,8,2,1,0,4,0,4,0,1,1,3,4
湘潭电化,1,5,4,0,1,0,0,2,3,2,1,1
银轮股份,5,1,0,2,1,1,0,8,4,1,2,5
露天煤业,0,0,0,0,0,0,0,0,0,0,0,3
中环股份,3,1,0,0,1,1,2,1,0,0,0,0
沃尔核材,0,0,0,1,0,0,0,0,0,1,0,1
恒星科技,1,0,1,1,3,0,1,1,0,1,0,1
广宇集团,1,0,0,0,0,0,0,2,1,0,0,0
东南网架,0,0,0,0,1,0,1,0,0,0,0,0
安纳达,0,0,0,0,0,0,0,0,0,0,0,0
顺络电子,0,0,0,0,2,0,4,1,1,1,3,4
拓邦股份,2,1,4,2,3,1,2,0,0,0,1,1
东华科技,1,0,0,0,0,0,0,3,1,0,0,2
蓉胜超微,0,0,0,0,0,0,0,0,0,0,1,3
印纪传媒,1,0,0,0,0,0,0,0,1,0,0,2
宏达高科,0,0,0,0,0,0,0,0,0,0,0,0
中核钛白,0,0,0,0,0,0,0,0,1,0,0,0
荣盛发展,3,0,1,2,9,5,9,3,1,0,1,0
北纬通信,1,0,0,1,0,0,0,0,0,0,0,0
西部材料,0,0,0,0,0,0,2,0,1,0,0,2
通润装备,0,0,0,0,0,0,0,0,0,0,0,0
北斗星通,0,0,1,0,0,2,0,0,0,0,0,1
广电运通,3,1,2,2,5,2,0,4,3,0,0,10
石基信息,4,4,0,4,5,2,4,3,3,0,0,5
报喜鸟,8,4,4,4,3,1,3,2,0,1,0,0
湖南黄金,0,0,0,0,1,0,0,0,0,1,0,1
通富微电,4,2,1,3,7,0,0,0,0,0,0,0
正邦科技,6,4,6,5,8,1,5,1,1,0,4,10
汉钟精机,0,0,0,2,2,0,2,0,0,0,0,2
三特索道,2,1,2,8,7,3,2,2,2,3,2,9
常铝股份,0,1,2,2,0,1,1,0,2,0,3,1
远望谷,2,1,0,1,1,1,0,0,0,1,0,0
悦心健康,0,0,0,0,0,0,0,0,0,0,0,0
宁波东力,0,0,0,0,0,0,0,0,0,0,0,0
红宝丽,0,0,1,1,3,0,0,0,0,2,0,3
莱茵生物,0,0,0,0,0,0,0,0,0,0,0,0
东方锆业,1,0,1,0,0,0,0,0,0,0,0,0
深圳惠程,0,0,0,0,0,0,0,0,0,0,0,0
智光电气,4,4,3,3,0,0,0,0,7,4,4,9
芭田股份,14,10,0,11,0,0,3,1,0,0,0,0
楚江新材,1,2,1,2,0,0,0,1,0,1,5,2
澳洋科技,2,1,0,1,2,2,4,5,1,2,2,4
东方网络,1,1,0,0,1,0,1,0,3,0,0,0
江特电机,2,0,0,0,1,0,1,1,1,0,0,4
御银股份,4,0,0,0,1,0,1,0,0,0,1,0
延华智能,4,2,0,0,4,0,2,0,0,0,0,2
中航光电,5,2,1,6,6,1,5,3,0,0,2,5
艾派克,0,0,0,0,0,1,10,4,4,1,1,3
粤传媒,1,0,0,0,0,0,0,0,0,0,0,0
云海金属,1,0,0,1,0,0,0,0,1,2,0,0
怡亚通,6,5,2,1,5,0,5,0,0,1,5,2
海得控制,3,0,0,3,0,0,0,0,1,2,1,5
华天科技,0,0,0,0,7,1,4,2,0,1,0,1
全聚德,1,0,0,1,5,1,2,0,1,0,1,5
广百股份,3,0,0,0,1,1,1,0,0,0,0,0
巴士在线,0,0,0,1,0,0,0,0,1,2,0,2
利达光电,0,0,0,0,0,0,0,0,0,0,0,0
成飞集成,0,0,0,0,0,0,0,0,1,1,1,0
山东如意,0,0,0,1,0,0,0,0,0,0,0,1
武汉凡谷,5,0,1,1,1,0,0,0,0,0,0,1
二三四五,1,1,1,1,3,0,1,0,0,1,0,1
方正电机,0,0,0,2,5,4,5,1,0,5,5,11
证通电子,1,1,0,0,0,0,0,0,0,0,0,0
嘉应制药,1,0,0,0,0,0,0,0,0,0,0,0
云投生态,0,1,1,0,2,1,2,2,0,5,8,3
金风科技,8,1,2,4,10,0,7,2,0,1,1,7
大连重工,0,0,0,0,0,0,0,0,0,0,0,0
国统股份,0,0,1,0,0,0,0,0,0,0,0,0
海利得,7,1,5,2,9,1,9,3,1,2,1,2
合肥城建,4,2,0,0,0,0,0,0,1,0,0,2
特尔佳,0,0,0,0,0,0,0,0,1,0,0,0
大立科技,1,0,0,0,0,0,2,0,0,0,0,0
诺普信,12,4,0,4,6,0,6,4,2,0,0,0
三全食品,6,6,2,8,7,1,5,3,1,4,3,1
拓日新能,1,0,0,1,1,0,1,0,0,1,1,2
天宝股份,0,0,0,0,0,0,0,0,0,0,0,0
东华能源,5,6,1,1,0,1,0,0,0,0,1,3
福晶科技,0,0,0,0,0,0,0,0,0,0,0,0
鱼跃医疗,13,9,4,4,8,1,8,2,0,0,1,0
三力士,4,0,0,0,0,0,0,1,2,11,4,5
濮耐股份,3,0,0,0,0,0,0,0,0,0,0,0
江南化工,0,0,0,1,1,1,0,0,1,0,0,1
奥特迅,1,1,0,0,1,0,0,0,0,0,0,0
鸿博股份,0,0,0,0,0,0,1,0,1,1,1,5
科大讯飞,12,0,2,1,8,0,9,0,5,0,4,12
启明信息,0,0,1,0,0,0,0,0,0,0,0,0
塔牌集团,3,0,0,0,8,0,1,0,0,0,0,3
大华股份,7,3,2,10,11,4,13,0,0,2,9,7
恒邦股份,0,0,0,1,0,0,0,0,0,0,0,0
天威视讯,1,0,0,0,1,0,0,0,1,0,0,1
歌尔声学,4,0,1,0,4,2,2,1,1,5,2,9
九阳股份,2,0,0,0,2,1,3,2,0,0,0,10
通产丽星,0,1,1,0,6,0,6,0,0,0,0,1
滨江集团,7,1,6,0,5,2,5,0,1,2,1,2
澳洋顺昌,0,1,0,0,2,0,1,0,0,1,2,0
北化股份,0,0,0,0,0,0,0,0,0,0,0,0
大洋电机,0,0,7,10,2,1,10,0,2,7,1,13
联化科技,21,1,0,9,0,0,9,3,1,0,7,2
步步高,10,3,16,6,9,2,2,7,2,0,2,0
上海莱士,1,1,0,2,2,1,1,0,0,1,1,1
川大智胜,5,0,0,0,5,0,2,0,0,0,1,7
泰和新材,3,0,0,0,3,0,1,0,0,0,0,1
海陆重工,1,2,0,1,3,0,0,0,0,0,1,2
彩虹精化,3,0,4,6,1,2,0,5,4,0,2,8
利尔化学,1,0,0,2,0,1,0,0,0,0,0,0
升达林业,0,0,0,0,0,0,0,0,4,0,1,0
德奥通航,0,0,0,0,0,0,0,0,1,2,0,2
拓维信息,6,1,1,0,4,0,3,0,2,1,4,0
恩华药业,1,0,1,6,0,1,5,0,0,0,6,2
大东南,0,0,0,0,0,0,0,1,0,0,0,0
新华都,0,1,0,0,0,0,0,0,0,0,0,0
西仪股份,0,0,0,0,0,0,0,0,0,0,0,0
浙富控股,0,2,1,1,2,0,0,0,1,0,1,0
陕天然气,2,1,0,0,1,0,0,0,0,0,0,1
卫士通,5,1,0,1,9,2,1,1,1,0,1,5
美邦服饰,4,0,0,1,2,0,0,0,0,0,0,0
法因数控,0,0,0,0,0,0,0,0,0,0,0,0
东方雨虹,5,7,0,3,9,1,9,1,0,0,5,3
水晶光电,0,0,0,0,1,0,1,0,0,2,0,2
华昌化工,0,1,1,0,1,0,0,0,0,0,0,0
桂林三金,2,2,1,0,1,0,1,0,0,0,0,1
万马股份,4,3,4,3,4,0,3,0,2,2,2,0
友阿股份,7,0,0,0,3,2,4,0,1,0,0,0
神开股份,1,0,0,0,0,0,0,0,0,0,0,0
久其软件,4,1,1,3,1,0,0,0,0,0,3,1
联络互动,1,0,0,7,1,1,1,8,5,2,8,4
光迅科技,4,0,0,0,4,0,4,3,1,6,2,7
博深工具,0,0,0,0,0,0,0,0,0,1,0,1
天润曲轴,1,0,0,0,0,0,0,0,0,3,2,0
亚太股份,0,9,7,6,0,1,2,2,5,22,7,14
世联行,10,5,5,14,10,0,10,1,5,7,17,8
奇正藏药,5,0,0,0,4,0,0,1,1,0,0,0
超华科技,0,0,0,0,0,0,0,0,0,0,0,0
禾盛新材,0,0,0,1,0,0,1,0,0,0,0,0
星期六,1,1,0,0,0,0,1,0,0,1,0,0
奥飞娱乐,9,5,0,0,14,0,4,8,3,7,2,10
罗莱生活,21,8,1,2,7,3,7,1,1,0,2,5
信立泰,8,1,0,1,4,0,2,1,1,1,7,7
精艺股份,0,0,0,0,0,0,0,0,0,1,0,2
辉煌科技,1,0,0,0,2,0,2,2,3,1,3,1
博云新材,1,0,0,0,0,0,0,0,0,0,0,0
中电鑫龙,0,0,4,3,0,1,3,1,1,0,0,3
圣农发展,7,0,3,5,10,2,2,13,4,9,8,3
太阳电缆,0,0,0,0,0,0,0,0,0,0,0,0
西部建设,0,0,2,0,2,0,1,0,0,0,0,3
美盈森,9,8,0,2,4,0,0,4,0,2,4,7
洋河股份,12,8,3,0,11,2,8,3,0,0,8,2
南国置业,1,3,3,1,7,0,3,0,1,0,0,0
北新路桥,0,0,0,0,1,0,0,0,0,0,0,0
