szr2,media.su,media.ft,zongher2,su.xuni,gongju,guba
0.172078,0,5,0.342,0,68.47,0.013128469
0.32425,0,1,0.3995,0,68.47,0.006135385
0.633578,0,1,0.5292,0,68.47,0.004132655
0.804047,0,2,0.5742,0,66.18,0.005310699
0.50773,0,1,0.6214,0,66.18,0.042510401
0.429134,0,1,0.6154,0,66.18,0.053485939
0.586539,0,5,0.5827,0,66,0.016548072
0.313044,0,0,0.4965,0,66,0.003655034
0.152594,0,1,0.2938,0,66,0.002309596
0.59534,0,0,0.7181,0,65.75,0.005862054
0.765538,0,1,0.6537,0,65.75,0.01103439
0.286159,0,8,0.6127,0,65.75,0.092430419
0.271881,0,1,0.342,0,70.76,0.009143148
0.547882,0,0,0.3995,0,70.76,0.003953622
0.819703,0,3,0.5292,0,70.76,0.005201376
0.355591,0,7,0.5742,0,72.14,0.018708498
0.475942,0,4,0.6214,0,72.14,0.01529256
0.763471,0,0,0.6154,0,72.14,0.005024399
0.392424,0,0,0.5827,0,72.22,0.04436564
0.520079,0,0,0.4965,0,72.22,0.058386557
0.221116,0,1,0.2938,0,72.22,0.037664045
0.938079,0,1,0.7181,0,72.22,0.017319691
0.793053,0,1,0.6537,0,72.22,0.000954254
0.788216,0,2,0.6127,0,72.22,0.00539884
NA,0,7,0.342,0,48.62,0.053081832
0.68195,0,9,0.3995,0,48.62,0.028683767
0.163954,0,24,0.5292,0,48.62,0.117416116
0.50865,1,12,0.5742,1,53.66,0.072649991
0.425177,0,24,0.6214,0,53.66,0.125980979
0.678996,0,14,0.6154,0,53.66,0.126656873
0.61252,0,5,0.5827,0,51.29,0.071520632
0.512711,0,5,0.4965,0,51.29,0.034678387
0.235549,0,2,0.2938,0,51.29,0.019641218
0.88301,0,4,0.7181,0,52.04,0.02183341
0.668067,0,1,0.6537,0,52.04,0.017082319
0.807224,1,3,0.6127,1,52.04,0.030664005
0.419845,0,2,0.342,0,51.88,0.006266126
0.42463,0,2,0.3995,0,51.88,0.008924869
0.592897,0,0,0.5292,0,51.88,0.009071268
0.821094,0,3,0.5742,0,57.4,0.007458693
0.749157,0,1,0.6214,0,57.4,0.020062816
0.714884,0,1,0.6154,0,57.4,0.0148631
0.023747,0,4,0.5827,0,66.65,0.03480558
0.10025,0,1,0.4965,0,66.65,0.027635575
0.206206,0,2,0.2938,0,66.65,0.003357157
0.702509,0,3,0.7181,0,66.29,0.003125635
0.540108,0,1,0.6537,0,66.29,0.003792548
0.727957,0,1,0.6127,0,66.29,0.002203109
0.49886,0,0,0.342,0,61.96,0.003171996
0.678297,0,0,0.3995,0,61.96,0.030121238
0.489926,0,0,0.5292,0,61.96,0.00858628
0.194624,0,1,0.5742,0,63.17,0.009981515
0.904641,0,1,0.6214,0,63.17,0.008241948
0.674925,0,1,0.6154,0,63.17,0.007723206
0.70523,0,1,0.5827,0,62.37,0.004517423
0.623632,0,1,0.4965,0,62.37,0.002893391
NA,0,2,0.2938,0,62.37,0.002847725
NA,0,0,0.7181,0,60.79,0.003040981
NA,0,4,0.6537,0,60.79,0.003628293
0.813594,0,1,0.6127,0,60.79,0.013832504
NA,0,5,0.342,0,35.99,0.021240949
0.465908,1,5,0.3995,1,35.99,0.014552715
0.616327,0,2,0.5292,0,35.99,0.012940155
0.678958,0,5,0.5742,0,35.15,0.021197753
0.768058,1,2,0.6214,1,35.15,0.033425338
0.837554,0,3,0.6154,0,35.15,0.016778645
0.807531,0,4,0.5827,0,35.92,0.015537642
0.459932,0,1,0.4965,0,35.92,0.00584048
0.214061,0,0,0.2938,0,35.92,0.008001557
0.653871,0,1,0.7181,0,35.65,0.006333498
0.67765,0,6,0.6537,0,35.65,0.047085405
0.386348,0,4,0.6127,0,35.65,0.01781522
0.141498,0,7,0.342,0,71.88,0.029677462
0.644999,0,1,0.3995,0,71.88,0.026747037
0.073611,1,5,0.5292,1,71.88,0.021155992
0.706392,0,4,0.5742,0,76.15,0.031742062
0.804951,0,7,0.6214,0,76.15,0.032433768
0.451025,0,5,0.6154,0,76.15,0.019406375
0.840501,0,4,0.5827,0,77.6,0.010719948
0.60591,0,3,0.4965,0,77.6,0.008483317
0.180251,0,5,0.2938,0,77.6,0.014795546
0.943916,0,1,0.7181,0,77.92,0.004697234
0.770675,0,0,0.6537,0,77.92,0.002858
0.258731,1,4,0.6127,1,77.92,0.031051293
0.185681,0,2,0.342,0,39.94,0.004376434
0.145822,0,1,0.3995,0,39.94,0.009459382
0.406307,0,0,0.5292,0,39.94,0.008454746
NA,0,0,0.5742,0,39.17,0.00691344
NA,0,2,0.6214,0,39.17,0.026063214
NA,0,0,0.6154,0,39.17,0.010470488
NA,0,4,0.5827,0,40.38,0.03735878
0.126723,1,5,0.4965,1,40.38,0.024067955
